-- ID: 00C4DBBC FW: 1.7.9.4 -- 5597040
100,12448,-2576,10048
100,12304,-2544,9968
99,12400,-2496,10144
100,12384,-2576,10128
98,12352,-2528,10032
101,12320,-2544,9984
100,12400,-2528,10064
186,12368,-2528,10080
99,12352,-2528,10000
100,12400,-2528,9968
101,12368,-2560,9984
100,12416,-2560,10016
100,12400,-2592,9984
101,12400,-2608,9968
100,12400,-2544,9984
100,12400,-2496,9920
101,12352,-2576,9936
100,12336,-2624,10000
100,12400,-2560,9952
101,12400,-2624,9936
100,12416,-2624,9952
100,12368,-2560,9872
101,12336,-2592,9920
98,12384,-2560,9936
100,12384,-2672,9968
101,12448,-2560,9920
100,12384,-2544,9920
98,12352,-2544,9952
101,12336,-2528,10016
100,12352,-2592,10080
100,12352,-2576,10048
99,12288,-2528,10000
100,12368,-2528,10000
100,12400,-2528,9984
99,12400,-2528,10000
100,12384,-2560,10016
100,12336,-2576,9952
185,12368,-2512,9968
100,12352,-2608,9984
100,12480,-2496,10064
101,12512,-2624,9952
100,12656,-2928,9952
101,12672,-2624,9584
100,12976,-2288,9296
100,13264,-2416,8896
101,13744,-2752,8528
100,13952,-2336,7760
98,14272,-2480,7936
101,14336,-2000,7968
100,14096,-1008,7904
100,14112,-176,7808
101,14096,560,7120
100,14272,992,6896
100,14304,880,6816
101,14496,784,6720
98,14592,464,6816
100,14656,240,6880
101,14640,144,6816
100,14688,96,6960
98,14640,160,6864
101,14640,256,6880
100,14576,320,6832
100,14560,320,6816
101,14576,320,6816
100,14656,240,6928
100,14560,224,6896
99,14576,208,6896
182,14624,256,6896
100,14560,256,7024
101,14592,64,7088
100,14400,176,7024
100,14384,32,7296
101,14448,-144,7424
100,14336,-80,7520
101,14288,-128,7536
100,14304,-112,7520
100,14304,-96,7600
101,14384,-64,7520
100,14384,-32,7408
100,14464,48,7280
101,14400,32,7296
100,14448,80,7264
100,14496,112,7280
101,14528,112,7216
100,14592,48,7232
100,14560,48,7120
101,14560,48,7120
100,14592,128,7040
98,14528,128,6960
101,14608,80,7008
100,14528,48,7024
100,14528,48,7072
99,14528,0,7200
100,14480,48,7056
98,14528,48,7072
101,14560,-96,7216
100,14480,-272,7280
184,14352,-384,7440
101,14288,-576,7392
98,14240,-912,7504
100,14160,-1168,7696
99,14048,-1280,8064
100,13904,-1392,8144
100,13824,-1440,8384
99,13712,-1424,8544
100,13600,-1424,8624
100,13552,-1440,8688
99,13536,-1408,8720
100,13520,-1392,8736
100,13520,-1360,8736
101,13520,-1424,8720
100,13424,-1456,8832
101,13520,-1504,8816
100,13456,-1440,8768
100,13536,-1440,8752
101,13552,-1424,8720
100,13520,-1488,8656
98,13552,-1568,8592
101,13568,-1616,8496
100,13648,-1664,8544
100,13568,-1712,8384
101,13616,-1808,8448
100,13632,-1648,8368
100,13520,-1552,8496
101,13584,-1808,8624
98,13584,-1904,8656
100,13600,-2144,8576
185,13568,-2288,8560
100,13440,-2288,8688
100,13360,-2336,8800
101,13360,-2336,8896
98,13280,-2256,8832
100,13248,-2288,8864
101,13312,-2304,8848
100,13312,-2368,8800
98,13248,-2368,8816
101,13216,-2352,8784
100,13264,-2320,8816
100,13328,-2240,8848
99,13328,-2224,8832
100,13328,-2208,8864
98,13424,-2208,8928
101,13360,-1904,8688
100,13392,-1776,8816
100,13424,-1936,8864
99,14480,-1712,9440
100,14496,-1344,9680
100,12096,-1200,9744
101,10608,-1872,10032
100,11024,-1936,10704
101,11744,-2400,10832
100,11136,-2336,10240
100,11840,-2192,10176
101,12288,-2192,9792
100,12320,-1904,9488
98,12624,-1584,9296
101,12864,-1472,8976
186,13296,-1584,8656
100,13296,-1920,9296
101,12752,-2032,9952
100,12336,-2272,10352
100,12144,-2656,10832
101,11904,-2784,10880
100,12048,-2960,10768
100,12016,-2960,10432
101,12112,-2960,10336
98,12096,-2912,10448
100,11952,-2848,10688
101,11840,-2896,10640
100,11888,-2928,10720
101,11840,-2960,10656
100,11888,-3072,10624
100,11856,-3024,10576
101,11936,-2944,10512
100,11824,-2800,10608
100,12032,-2816,10608
99,11936,-2784,10512
100,11952,-2768,10528
100,12000,-2784,10608
101,12624,-2752,10960
100,12816,-2944,11408
100,12320,-3200,11440
101,10864,-2976,11040
100,9424,-2832,11248
98,8496,-3040,12112
101,7104,-2528,12528
100,5328,-2800,12656
186,2432,-4864,15488
101,1152,-5008,16320
100,656,-4720,16256
100,2608,-3904,14864
101,4032,-4992,15744
100,4192,-5168,15968
101,5792,-5040,16048
100,9328,-2096,15968
100,8944,432,12208
101,14384,3344,8448
100,13296,1680,7200
100,12192,144,10496
101,11296,-1472,12784
100,11600,-3152,14176
100,12192,-3808,12544
101,11152,-1072,9024
100,9792,-1120,9504
100,11648,-1296,11248
101,10432,-848,11744
98,10288,144,10512
100,10288,-528,11888
101,9760,-928,13168
100,8432,-1296,13936
98,7152,-2048,14304
101,7328,-2896,14528
100,7536,-2320,15728
100,6880,-2240,15136
99,7936,-2624,15392
100,8160,-2704,14192
98,9472,-3584,13040
193,8496,-1200,12816
100,9216,-816,13696
101,9552,-1168,13504
100,8944,-912,12672
100,9392,-1472,13072
101,8928,-1616,13408
100,8672,-2208,14208
100,8176,-2368,14128
101,7808,-2192,14256
100,7808,-2080,14128
100,7776,-1936,13936
99,7616,-1760,13776
100,7744,-2048,14080
100,7632,-2112,14064
99,7584,-2144,14160
100,7440,-2608,13888
100,7536,-2368,14048
101,7424,-2256,14048
100,7456,-2224,14160
101,7504,-2064,14144
100,7376,-2208,14224
100,7264,-2240,14320
101,7264,-2144,14176
100,7216,-2384,14304
100,7296,-2160,14720
101,7856,-2320,14384
100,7968,-1760,13008
100,8416,-2368,13632
99,8624,-2640,13440
100,8480,-2736,13216
186,8512,-3008,13328
101,8528,-2976,13408
100,8480,-2768,13248
100,8304,-2624,13328
101,8320,-2848,13680
100,8464,-3280,13984
100,8464,-2672,13616
99,9024,-2176,13344
100,9152,-2176,13296
100,9472,-1792,12624
99,11072,-1760,12928
100,10512,-1216,12256
101,9408,-1760,12864
100,8768,-1360,13296
100,8864,-2064,13632
101,9024,-1632,12704
100,9840,-1712,13280
100,9696,-2144,13872
101,9472,-2656,13056
100,9344,-2064,11584
100,9424,-1760,11472
101,9184,-2448,12704
100,7408,-3040,13232
100,7312,-3536,14096
99,8000,-2016,12080
100,9680,-464,10256
100,14080,-880,11056
101,12512,-672,12576
100,11504,-2416,11920
100,10944,-2320,12752
187,8240,-1312,13136
